remarks_text,subject_content_text,,,
"
महोदय/महोदया, 
हम इस संदर्भ में आपको अवगत कराते हैं कि हमारे बैंक ने ग्राहक से पत्र / ईमेल के माध्यम से संवाद किया है। आपके सुलभ संदर्भ हेतु यहाँ उसकी प्रतिलिपी संलग्न करते है। अतः इस शिकायत को हमारे स्तर से बंद करने की अनुशंसा करते है।
सादर 
Respected Sir/Madam,
We Hereby apprise that our bank has communicated to the customer. The same is attached herewith for your ready reference. Hence, we recommend for closure of the same at our end.
Regards
","Financial Services (Banking Division) >> Fraud

Department/Bank/Financial Institute : Bank of India
-----------------------
I have already written to Bank of India Kalyanpur Kanpur in response to Grievance-Redressal Cell HDFC Bank reply dated 27.12.2022 and lodge a complaint against the beneficiaries with law enforcement agency.( Cybercrime Cell on 13.08.2022 whose case number is 1537/ 2022/dated 13.08.2022)


TO
 BRANCH MANAGER 
BANK OF INDIA 
KALYANPUR KANPUR 

Subject - Regarding FRADULENT TRANSACTION (Payment of Rs.15550/= from BHIM App on 12.08.2022 whose ID number is X2X4X4X7X0X1.)

DEAR SIR

In relation to the above mentioned subject, it is to inform that the Grievance-Redressal Cell of HDFC Bank has informed the following in the course of our case.

 &quot;This is with reference to your query raised with the Grievance Redressal Cell dated December 26th 2022. 
We request you to take up the request with the Bank of India bank from where the XEXTXRXGX/XMXS transfer has been wrongly initiated.
 The concerned bank in turn will take up the request internally from their end with corresponding unit of our bank. 
Thereby , we request you to liea with your initiating Bank of India bank highlighting the issue for further action from their end 
Further we request you to file an FIR against the beneficiaries with the law enforcement agency. The Bank will be able to assist the Police with any further information for the investigation of the case.&quot; 

Therefore, you are requested to kindly write to the corresponding unit of HDFC Bank to credit the amount of Rs.15550/= in the applicant&#39;s bank account and also inform the applicant about the action taken, so that the applicant can also inform HDFC Bank.

 Thank you.

Applicant

 Anil Kumar Jaiswar 
Account number X9X4X0X1X0X0X1X, 
IFSC Code X-X-X-X-X
 Mobile Number-X4X8X6X9X6,
                            X4X2X2X0X4",,,
" Customer concern is regarding slow browsing concern for his broadband connection and behavioral issue of technician. We have received the confirmation from his end that his connection is working fine now. Further, we have taken feedback for the behavioral issue and the same has been shared with the concern team. Please be assured that, necessary action will be taken if found guilty.","Telecommunications >> Broadband Related >> Others

Broadband ID : X6X1X4X9X2X
Service Provider : Secretary TRAI
-----------------------
airtel broadband MISS BEHAV TECHNICIAN .LANDLINE NUMBER X6X1X4X9X2X COMPLAIN NUMBER SERVICE REQST NUMBER reference number is X0X2X1X1X8X. MERE SERVICE REQST PE KOI V ACTION KYON NAHI LIYA gaya.TECHNICIAN NE MUJHSE OTP PUCHA HAPPY CODE TO MAINE OTP NAHI BATAYA.TECHNICIAN NE MERA BROADBAND WIRED POLE SE NIKAL DIYA TECHNICIAN RAHUL KUMAR TECHNICIAN KA MOBILE NUMBER X0X1X0X4X3


REGARDS
PANKAJ KUMAR
MOBILE X1X3X1X0X5",,,
 	Please provide the name of ISP of internet connection.,"My call drop and internet is not working for the last several days, for this I had complained earlier but till now no solution has been found. please intervien.",,,
" 
The Grievance has been sent to the State Govt.	
","Food and Public Distribution >> Public Distribution System related >> Ration Card related >> Cancellation of Ration Card
-----------------------
Family income galat h",,,
    The petitioner has been suitably advised.,December month pension not come.,,,
    The petitioner has been suitably advised.,"Though I have diposited my life certificate in November 2nd week,my pension for December 2022 was not credited to my account",,,
    The petitioner has been suitably advised.,"वित्तीय सेवा विभाग (बैंकिंग प्रभाग) >> Miscellaneous/Others

विभाग / बैंक / वित्तीय संस्थान : State Bank of India
शाखा / बैंक और शाखा का नाम : State Bank of India faridpur district Bareilly
-----------------------
महोदय
         आपको अवगत करवाना चाहते हैं कि मैंने दिनांक X6X0X0X0 को वैयक्तिक ऋण रुपया 700000 (सात लाख ) लिया था जिसका अकाउंट नंबर X9X5X8X7X1X था जिसमें तत्कालीन एम एस एम ई क्षेत्राधिकारी श्री सन्दीप कुमार ने ऋण पत्रावली में अधूरे हस्ताक्षर होने के कारण हमारे वचत खाता  X1X3X2X6X9X पर रूपए दस हजार का होल्ड लगा दिया, बाद में प्रार्थी ने ऋण पत्रावली पर शेष हस्ताक्षर कर दिए, लेकिन प्रार्थी के खाता पर लगा होल्ड नहीं हटाया गया है , इस सम्बन्ध में प्रार्थी ने व्यक्तिगत रूप से  कई प्रार्थना पत्र अपनी शाखा में दिये , लेकिन उन प्रार्थना पत्रों पर कोई कार्यवाही नहीं हुई प्रार्थी ने दिनांक X8X1X0X2 को एक प्रार्थना पत्र पुनः दिया तो बहां उपप्रबंधक काउंटर पर बैठे महोदय ने कहा कि यह होल्ड यहां से नहीं हटेगा यह हेड आफिस मुम्बई से हटेगा हम आपका प्रार्थना पत्र हेड आफिस मुम्बई को अग्रसारित कर देते हैं तब से एक महीना पूरा बीत जाने के बावजूद भी खाते पर लगा होल्ड अभी तक नहीं हटाया गया है
 अतः आप से विनम्र निवेदन है कि आप प्रार्थी के खाता पर लगे होल्ड को हेड आफिस मुम्बई से हटाने की कृपा करें
सधन्यवाद",,,
   As per report of the Department.,"Agriculture and Farmers Welfare >> Crops related issues
-----------------------
Respected sir , 
                               With due respect , I want to draw your kind attention towards PFBY RABI 2022 crop insurance . In haryana there was also last date of portal named meri fasal mera byora i.e. 31 Dec 2022. Those farmers who registered their insurance from CSC center they couldn&#39;t do payment  due to CSC payment service was down . Also there was server down for meri fasal mera byora portal . Now , I request you to reopen csc portal for PFBY so that they can deposit their fee for insurance .",,,
   As per report of the Department.,"Agriculture and Farmers Welfare >> PMKISAN related issues >> stoppage of installments after issue of few installments
-----------------------
मेरी समस्या का समाधान करें pmkisan की किस्त दोबारा सुरू करने के लिये कागजात साथ संलग्न है",,,
   As per report of the Department.,सर् नमस्कार मै PM KISAN SAMMAN NIDHI का लाभार्थी हूं मेरी 5 किस्त आ करके अब रूक गई है कृप्या करके मेरी Land Seeding Yes कर दी जाए सधन्यवाद,,,
